Power_Seo_FAPI_1(W),PLQE_Seo_FAPI_1(%),Abs_Seo_FAPI_1(-),Power_Seo_FAPI_Spiro_1(W),PLQE_Seo_FAPI_Spiro_1(%),Abs_Seo_FAPI_Spiro_1(-),Power_Seo_FAPI_TiO2_SnO2_1(W),PLQE_Seo_FAPI_TiO2_SnO2_1(%),Abs_Seo_FAPI_TiO2_SnO2_1(-)
1.306e-05,0.5849617948062693,0.8392006221614993,,,,,,
2.2190000000000003e-05,0.6495071905277761,0.8958508079869332,,,,,,
3.75e-05,0.7375591838426796,0.8974825193983542,,,,,,
6.29e-05,0.8632738949183448,0.9029862980442174,,,,5.29e-05,0.09440343977683738,0.9351990832858998
0.0001068,0.9720120978118779,0.8988331122699847,7.5e-05,0.04261816047995054,0.8810452366796718,9.215e-05,0.11546852592676295,0.9326117030953341
0.00018765,1.1298988827840373,0.9005327863077666,0.00013005,0.07185757270826479,0.8838416516559706,0.00015575,0.14681583857719546,0.9277312577507064
0.000329,1.3093376876524538,0.9011827013963284,0.0002256,0.11751054549684356,0.8837804612310799,0.00027255,0.1880279795414519,0.9271339267333457
0.000594,1.5966501353692228,0.9016903304835474,0.00039349999999999997,0.1958593619580266,0.8848985579559591,0.0004745,0.2351574758145391,0.9274656908364065
0.0009725,1.8425741614081215,0.9019134903570063,0.000702,0.35501268567904853,0.8859883796033818,0.000827,0.26189750707608783,0.9283174868121117
0.001526,1.9706047389342392,0.9026576246417842,0.001145,0.5539240156508358,0.8838133166970136,0.0013334999999999998,0.3008162720457854,0.9286297259248089
0.0023575000000000002,2.1406356666309887,0.9029044927198538,0.0017555000000000001,0.7526964468276377,0.8857379745125279,0.002031,0.2953699606242916,0.9287566500594091
0.0034149999999999996,2.4081479510381474,0.9023708230269479,0.0027264999999999998,1.8368043977456343,0.884639655736912,0.00305,0.27153958228295616,0.9289185132964157
0.00481,2.1495090336943345,0.9019143839670963,0.00383,1.9658341115397746,0.8848554426973221,0.0043,0.24229616744330887,0.9291580288540533
0.00643,1.968234102864095,0.9023896952894385,0.00643,2.6471680467962453,0.8857808616363485,0.00643,0.25047486341851244,0.9293673557359927
