	Time (ns)	4.8e+11[cm-2] S1	4.8e+10[cm-2] S1	4.8e+11[cm-2] S2	4.8e+10[cm-2] S2
0	0.0	1.0	1.0	1.0	1.0
1	1.99999994343614	0.805687055675026	0.7779656643489758	0.996564550407969	0.9128046851100496
2	3.99999988687227	0.6221059640702412	0.5826622146984322	0.891219539458314	0.7761473326782942
3	5.99999960826381	0.5767493261872336	0.5317274774754164	0.8803326332099316	0.7519217207985112
4	7.99999977374455	0.5244151421064818	0.4758850485321928	0.8510099253471471	0.714970863405604
5	9.99999993922529	0.4957220491323657	0.4446689345758096	0.8383171070857278	0.6973763691635944
6	11.9999992165276	0.46865450452499463	0.4158629771811688	0.8228379212871113	0.6790585543143164
7	13.9999993820084	0.4489626304010398	0.39484743776417913	0.8121532992408567	0.666506487539964
8	15.9999995474891	0.43133769563653945	0.3762480542340264	0.8013775078459267	0.6548297263536547
9	17.9999997129698	0.41693274885707154	0.36107542254253855	0.7924030710899865	0.645510491476618
10	19.9999998784506	0.4041169380200895	0.3476798004638389	0.7838421823921944	0.637074015709563
11	22.0000000439313	0.39305644300307674	0.3361978918727861	0.7761887675389871	0.6298955903091625
12	23.9999984330552	0.38316541324281284	0.3260036294094325	0.7689516806955362	0.6234275740779527
13	25.999998598536	0.37441740728010947	0.3170374823343174	0.7622783099251416	0.6177281860462993
14	27.9999987640167	0.3665506277034002	0.3090533330563312	0.7559899571077358	0.612609968008877
15	29.9999989294975	0.35949120742301005	0.3019550275077051	0.7501149336689154	0.6080517795148654
16	31.9999990949782	0.35311693427381113	0.29558938222111464	0.7445505572132627	0.6039680321819727
17	33.9999992604589	0.34735094818453577	0.2898956181921909	0.7392637402514413	0.6002885391306068
18	35.9999994259397	0.3421139251257938	0.2848112070885891	0.734268376238334	0.5970020721209304
19	37.9999995914204	0.33735213178980844	0.2802238927962091	0.7295414605167835	0.5940466766036339
20	39.9999997569012	0.3330026256982642	0.27610762741670825	0.7250400901336518	0.5913861333042095
21	41.9999999223819	0.3290340702450526	0.2723867083515014	0.7207203181980002	0.58900879978721
22	44.0000000878626	0.3253872652114639	0.2690351574588311	0.7165934593455421	0.5868486043008617
23	46.0000002533434	0.322045204145312	0.26601233859799844	0.7126207996633779	0.5849165207368672
24	47.9999968661105	0.3189675577619272	0.2632888391279168	0.7088160412923243	0.5831786411670628
25	49.9999970315912	0.3161190259837863	0.2608267091428854	0.705162275867167	0.581631832430368
26	51.9999971970719	0.3134810231826022	0.25859431755083473	0.7016253637752548	0.580242531750284
