	k_rad(cm3s-1)	peq_min(cm-3)	k_capture(s-1)	k_emission(s-1)	k_deep(s-1)	k_nr_eff(s-1)	k_bulk_eff(s-1)	S_1(cm s-1)	S_2(cm s-1)	S_lower(cm s-1)	S_upper(cm s-1)	Mobility_values(cm2V-1s-1)	Diffusion_length(um)	LL	sigma_LL_factor
0	7.379000873867799e-11	2084316199833268.0	1391588.8515409774	734981.1962868269	10596.839138154088	10447.36536823054	343069.5222836368	0.06773364287081758	11.231792341871348	0.06773364287081758	11.231792341871348	0.4090567943618709	1.7321225321802962	0.4680854407900533	2.0381058945566157
1	7.477803426944757e-11	2084316199833268.0	1356951.0085451852	766996.5792602551	10554.371214963458	10412.213315397246	347488.0786494584	0.06773364287081758	11.231792341871348	0.06773364287081758	11.231792341871348	0.4118957087471144	1.7270366486023152	0.47387697184795463	2.012910443039983
2	7.487259739535047e-11	2084316199833268.0	1395002.661473601	747637.5249347162	10248.778703274807	10111.196845347906	347613.3230166164	0.06773364287081758	11.716535342143112	0.06773364287081758	11.716535342143112	0.4264900802089611	1.7570500606224937	0.47854414222726255	2.0120544838496706
3	7.344491103677377e-11	2123314779338399.5	1411065.8515127192	765232.2921814797	9884.571762918227	9759.396968188075	343690.2091580041	0.28767754976701027	11.716535342143112	0.28767754976701027	11.716535342143112	0.4224081532318912	1.7585731609446762	0.47151886747099103	2.0275862675297818
4	7.545727949339273e-11	2123314779338399.5	1330409.025323989	760201.1120601037	9114.391706809469	9007.144555347257	352087.5604911257	0.5139363297439771	11.139373233161736	0.5139363297439771	11.139373233161736	0.4161637904411362	1.7245852975371025	0.4470023289712165	2.0756744423165574
5	7.436085341174203e-11	2132976209822391.5	1473413.7222256484	796771.3341363479	10127.20574633459	10000.969080610403	348814.71415600606	0.5139363297439771	11.139373233161736	0.5139363297439771	11.139373233161736	0.40882945743283416	1.71732134044524	0.4818079888545205	2.010640671214697
6	7.488008782357174e-11	2132976209822391.5	1518095.2184598185	797219.1823051842	10479.86702513425	10344.823362540685	351524.37985042704	0.523951337965018	11.139373233161736	0.523951337965018	11.139373233161736	0.41285769744920436	1.7190968419258164	0.4668914019142403	2.0372581903539126
7	7.466695553118962e-11	2132976209822391.5	1462449.382417926	781634.8285807546	9904.747254334587	9781.640260458496	349990.0923719784	0.7448398644444705	11.139373233161736	0.7448398644444705	11.139373233161736	0.4054962639179212	1.7074320458170658	0.43613367844923767	2.1035185974687822
8	7.482873751284189e-11	2132976209822391.5	1441820.3631198716	772681.4697956273	9236.224659263542	9127.818304667468	350073.40503170626	0.7448398644444705	10.834355468046612	0.7448398644444705	10.834355468046612	0.41812807299849203	1.73361628869778	0.446797357389507	2.0780668022014774
9	7.506945179031015e-11	2132976209822391.5	1400961.5316043056	775616.6681537617	8555.181063035156	8462.412005622478	350504.77616460586	0.7448398644444705	11.32883801580452	0.7448398644444705	11.32883801580452	0.4094744967940325	1.7145270194469489	0.4487852614481021	2.073920285964194
10	7.628617335060148e-11	2132976209822391.5	1389304.4253211303	777862.4072349648	8549.705908153479	8457.323831020667	356043.49188200175	0.7448398644444705	11.32883801580452	0.7448398644444705	11.32883801580452	0.4098083496348421	1.7018322536815453	0.47215740893531705	2.0300281975074594
11	7.564336866837268e-11	2132976209822391.5	1449428.604715526	783576.7783754339	9111.710571807338	9007.62856176108	353664.95634604944	0.7448398644444705	11.32883801580452	0.7448398644444705	11.32883801580452	0.41983206264793255	1.72830211599466	0.4565350627686361	2.058236393077917
12	7.580989350039747e-11	2140411803288432.5	1455239.0584659553	780545.6372341809	9118.887101913539	9014.23977372717	354994.0037875947	0.7448398644444705	11.32883801580452	0.7448398644444705	11.32883801580452	0.4428002866116092	1.7716230117777816	0.43362793975244235	2.1107251036544437
